field,display_name,browse_link,external_link,dc_map,schema_map
title,Title,,,DCTERMS.title,headline
creator,Creator,,,DCTERMS.creator,creator
eventdate,Event Date
otherdate,Photograph Date
description,Description,,,DCTERMS.description,description
subject,Subjects,true,,DCTERMS.subject,keywords
eventlocation,Event Location,,,DCTERMS.coverage,contentLocation
latitude,Latitude,,,,
longitude,Longitude,,,,
source,Source,,,,
identifier,Source Identifier,,,,
type,Type,,,DCTERMS.type,
format,Format,,,,encodingFormat
language,Language,,,DCTERMS.language,
rights,,,,DCTERMS.rights,license
